country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Denmark,DNK,3/01/21,52824,52824,,6000,6605,0.91,0.91,,1140,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,4/01/21,55255,55255,,2431,6668,0.95,0.95,,1151,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,5/01/21,68795,68795,,13540,7302,1.19,1.19,,1261,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,6/01/21,88758,88758,,19963,8509,1.53,1.53,,1469,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,7/01/21,106370,106370,,17612,10123,1.84,1.84,,1748,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,8/01/21,114937,114937,,8567,11008,1.98,1.98,,1900,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,9/01/21,116835,116835,,1898,10002,2.02,2.02,,1727,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,10/01/21,117650,117650,,815,9261,2.03,2.03,,1599,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,11/01/21,118309,118309,,659,9008,2.04,2.04,,1555,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,12/01/21,118769,118769,,460,7139,2.05,2.05,,1233,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,13/01/21,131433,131433,,12664,6096,2.27,2.27,,1052,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,14/01/21,149210,149210,,17777,6120,2.58,2.58,,1057,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,15/01/21,164286,164281,5,15076,7050,2.84,2.84,0,1217,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,16/01/21,168974,168962,12,4688,7448,2.92,2.92,0,1286,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,17/01/21,172233,171495,738,3259,7798,2.97,2.96,0.01,1346,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,18/01/21,178263,175367,2896,6030,8565,3.08,3.03,0.05,1479,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,19/01/21,182875,177853,5022,4612,9158,3.16,3.07,0.09,1581,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,20/01/21,186303,179368,6935,3428,7839,3.22,3.1,0.12,1353,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,21/01/21,190170,180882,9288,3867,5851,3.28,3.12,0.16,1010,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,22/01/21,196260,181501,14759,6090,4568,3.39,3.13,0.25,789,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Denmark,DNK,23/01/21,203166,182168,20998,6906,4885,3.51,3.15,0.36,843,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Ecuador,ECU,21/01/21,0,0,,,,0,0,,,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/munozmalejandra/status/1352700559078338562
Ecuador,ECU,22/01/21,108,108,,108,108,0,0,,6,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/munozmalejandra/status/1352700559078338562
England,,20/12/20,568044,568044,,,,1.01,1.01,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,21/12/20,,,,,37625,,,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,22/12/20,,,,,37625,,,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,23/12/20,,,,,37625,,,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,24/12/20,,,,,37625,,,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,25/12/20,,,,,37625,,,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,26/12/20,,,,,37625,,,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,27/12/20,831416,831416,,,37625,1.48,1.48,,668,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,28/12/20,,,,,39253,,,,697,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,29/12/20,,,,,40882,,,,726,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,30/12/20,,,,,42511,,,,755,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,31/12/20,,,,,44139,,,,784,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/01/21,,,,,45768,,,,813,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,2/01/21,,,,,47396,,,,842,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,3/01/21,1174592,1154306,20286,,49025,2.09,2.05,0.04,871,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,4/01/21,,,,,65678,,,,1167,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,5/01/21,,,,,82331,,,,1463,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,6/01/21,,,,,98984,,,,1759,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,7/01/21,,,,,115637,,,,2054,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,8/01/21,,,,,132290,,,,2350,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,9/01/21,,,,,148943,,,,2646,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,10/01/21,2333764,1959151,374613,,165596,4.15,3.48,0.67,2942,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,11/01/21,2474205,2080280,393925,140441,162002,4.4,3.7,0.7,2878,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/01/21,2661850,2254556,407294,187645,165152,4.73,4.01,0.72,2934,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,13/01/21,2910027,2494371,415656,248177,176950,5.17,4.43,0.74,3144,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,14/01/21,3189674,2769164,420510,279647,193243,5.67,4.92,0.75,3433,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,15/01/21,3514385,3090058,424327,324711,215973,6.24,5.49,0.75,3837,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,16/01/21,3791594,3365492,426102,277209,231918,6.74,5.98,0.76,4120,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,17/01/21,3947442,3520056,427386,155848,230525,7.01,6.25,0.76,4096,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,18/01/21,4118342,3687206,431136,170900,234877,7.32,6.55,0.77,4173,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,19/01/21,4419704,3985579,434125,301362,251122,7.85,7.08,0.77,4461,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,20/01/21,4740578,4303730,436848,320874,261507,8.42,7.65,0.78,4646,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,21/01/21,5100475,4661293,439182,359897,272972,9.06,8.28,0.78,4850,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,22/01/21,5526071,5085771,440300,425596,287384,9.82,9.04,0.78,5106,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,23/01/21,5970175,5529101,441074,444104,311226,10.61,9.82,0.78,5529,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,28/12/20,207,207,,,,0.02,0.02,,,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,29/12/20,516,516,,309,309,0.04,0.04,,233,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,30/12/20,884,884,,368,338,0.07,0.07,,255,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,31/12/20,1907,1907,,1023,567,0.14,0.14,,427,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,1/01/21,2487,2487,,580,570,0.19,0.19,,430,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,2/01/21,,,,,459,,,,346,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,3/01/21,2517,2517,,,385,0.19,0.19,,290,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,4/01/21,2535,2535,,18,333,0.19,0.19,,251,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,5/01/21,3188,3188,,653,382,0.24,0.24,,288,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,6/01/21,5009,5009,,1821,589,0.38,0.38,,444,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,7/01/21,6632,6632,,1623,675,0.5,0.5,,509,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,8/01/21,7973,7973,,1341,784,0.6,0.6,,591,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,9/01/21,10197,10197,,2224,1099,0.77,0.77,,828,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,10/01/21,10749,10749,,552,1176,0.81,0.81,,887,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,11/01/21,10972,10972,,223,1205,0.83,0.83,,908,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,12/01/21,11896,11896,,924,1244,0.9,0.9,,938,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,13/01/21,13481,13481,,1585,1210,1.02,1.02,,912,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,14/01/21,14879,14879,,1398,1178,1.12,1.12,,888,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,15/01/21,16677,16677,,1798,1243,1.26,1.26,,937,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,16/01/21,17959,17959,,1282,1109,1.35,1.35,,836,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,17/01/21,18179,18179,,220,1061,1.37,1.37,,800,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,18/01/21,18275,18275,,96,1043,1.38,1.38,,786,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,19/01/21,19315,19315,,1040,1060,1.46,1.46,,799,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,20/01/21,20478,20478,,1163,1000,1.54,1.54,,754,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,21/01/21,21985,21985,,1507,1015,1.66,1.66,,765,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,22/01/21,24196,24196,,2211,1074,1.82,1.82,,810,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,23/01/21,25704,25704,,1508,1106,1.94,1.94,,834,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Estonia,EST,24/01/21,25964,25964,,260,1112,1.96,1.96,,838,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised
Finland,FIN,31/12/20,1767,1767,,,,0.03,0.03,,,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,1/01/21,,,,,459,,,,83,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,2/01/21,,,,,459,,,,83,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,3/01/21,,,,,459,,,,83,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,4/01/21,3604,3604,,,459,0.07,0.07,,83,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,5/01/21,5445,5445,,1841,736,0.1,0.1,,133,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,6/01/21,,,,,839,,,,151,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,7/01/21,8155,8155,,,913,0.15,0.15,,165,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,8/01/21,11135,11135,,2980,1273,0.2,0.2,,230,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,9/01/21,,,,,1353,,,,244,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,10/01/21,,,,,1433,,,,259,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,11/01/21,14196,14196,,,1513,0.26,0.26,,273,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,12/01/21,17617,17617,,3421,1739,0.32,0.32,,314,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,13/01/21,23126,23126,,5509,2332,0.42,0.42,,421,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,14/01/21,33033,33033,,9907,3554,0.6,0.6,,641,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,15/01/21,43143,43143,,10110,4573,0.78,0.78,,825,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,16/01/21,,,,,4971,,,,897,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,17/01/21,,,,,5369,,,,969,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,18/01/21,54568,54568,,,5767,0.98,0.98,,1041,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,19/01/21,55824,55824,,1256,5458,1.01,1.01,,985,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,20/01/21,62061,62061,,6237,5562,1.12,1.12,,1004,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,21/01/21,78300,78300,,16239,6467,1.41,1.41,,1167,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
Finland,FIN,22/01/21,91260,91260,,12960,6874,1.65,1.65,,1241,Pfizer/BioNTech,THL via Helsingin Sanomat,https://github.com/HS-Datadesk/koronavirus-avoindata
France,FRA,4/01/21,1000,1000,,,,0,0,,,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,5/01/21,6000,6000,,5000,5000,0.01,0.01,,74,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,6/01/21,18000,18000,,12000,8500,0.03,0.03,,125,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,7/01/21,45000,45000,,27000,14667,0.07,0.07,,216,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,8/01/21,81000,81000,,36000,20000,0.12,0.12,,295,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,9/01/21,95000,95000,,14000,18800,0.14,0.14,,277,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,10/01/21,107000,107000,,12000,17667,0.16,0.16,,260,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,11/01/21,138351,138351,,31351,19622,0.2,0.2,,289,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,12/01/21,189834,189834,,51483,26262,0.28,0.28,,387,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,13/01/21,247167,247167,,57333,32738,0.36,0.36,,483,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,14/01/21,318216,318216,,71049,39031,0.47,0.47,,575,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,15/01/21,388730,388730,,70514,43961,0.57,0.57,,648,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,16/01/21,413046,413046,,24316,45435,0.61,0.61,,670,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,17/01/21,422127,422127,,9081,45018,0.62,0.62,,664,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,18/01/21,479873,479873,,57746,48789,0.71,0.71,,719,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,19/01/21,585664,585664,,105791,56547,0.86,0.86,,834,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,20/01/21,692777,692777,,107113,63659,1.02,1.02,,938,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,21/01/21,823567,823567,,130790,72193,1.21,1.21,,1064,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,22/01/21,963139,963139,,139572,82058,1.42,1.42,,1210,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,23/01/21,1008720,1008720,,45581,85096,1.49,1.49,,1254,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
France,FRA,24/01/21,1026871,1026871,,18151,86392,1.51,1.51,,1274,Pfizer/BioNTech,Ministry of Health,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19/
Germany,DEU,27/12/20,24256,24256,,,,0.03,0.03,,,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,28/12/20,43905,43905,,19649,19649,0.05,0.05,,235,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,29/12/20,86981,86981,,43076,31362,0.1,0.1,,374,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,30/12/20,144421,144421,,57440,40055,0.17,0.17,,478,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,31/12/20,182427,182427,,38006,39543,0.22,0.22,,472,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,1/01/21,213023,213023,,30596,37753,0.25,0.25,,451,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,2/01/21,257920,257920,,44897,38944,0.31,0.31,,465,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,3/01/21,282450,282450,,24530,36885,0.34,0.34,,440,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,4/01/21,331080,331080,,48630,41025,0.4,0.4,,490,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,5/01/21,382086,382086,,51006,42158,0.46,0.46,,503,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,6/01/21,438354,438354,,56268,41990,0.52,0.52,,501,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,7/01/21,496204,496204,,57850,44825,0.59,0.59,,535,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,8/01/21,554232,554232,,58028,48744,0.66,0.66,,582,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,9/01/21,607874,607874,,53642,49993,0.73,0.73,,597,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,10/01/21,640337,640337,,32463,51127,0.76,0.76,,610,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,11/01/21,706205,706205,,65868,53589,0.84,0.84,,640,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
Germany,DEU,12/01/21,786323,786323,,80118,57748,0.94,0.94,,689,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.html
